original,translate
Горчица,Senape
Дижонска Горчица,Senape di Digione
Sponge-Cake,Pan di Spagna
Sponge Cake Filled And Covered With Chocolate,Pan di Spagna farcito e ricoperto di cioccolato
Pains Azymes,Pane azzimo
Fruit And Vegetable Preserves,Conserve di frutta e verdura
Jams,Marmellate
Berry Jams,Marmellate di frutti di bosco
Strawberry Jams,Marmellate di fragole
Confitures-De-Fruits,Marmellate di frutta
Vegetables Based Foods,Alimenti a base di verdure
Tomatoes And Their Products,Pomodori e prodotti derivati
Tomato Purées,Passata di pomodoro
Strained Tomatoes,Pomodori filtrati
Milk Chocolates,Cioccolatini al latte
Filled Chocolates,Cioccolatini ripieni
Filled Milk Chocolates,Cioccolatini al latte ripieni
Flavoured Milk Chocolates,Cioccolatini al latte aromatizzati
Milchprodukte,Prodotti lattiero-caseari
Fermentierte Lebensmittel,Cibi fermentati
Fermentierte Milch,Latte fermentato
Milchgetränke,Bevande al latte
Fermentierte Getränke,Bevande fermentate
Fermentierte Milchgetränke,Bevande a base di latte fermentato
Kefir,Kefir
Viandes Et Dérivés,Carne e prodotti a base di carne
Plats Préparés,Piatti pronti
Pizzas Tartes Salées Et Quiches,Pizze e quiche salate
Plats Préparés À La Viande,Piatti di carne
Pizzas,Pizzas
Plats Au Porc,Piatti a base di maiale
Pizzas Au Jambon,Pizze al prosciutto
Pizza Au Jambon,Pizza Au Jambon
Pizza Jambon Fromage,Pizza Jambon Fromage
Boissons Aux Fruits,Bevande alla frutta
Jus Et Nectars,Jus Et Nectars
Jus De Fruits,Jus de Fruits
Jus Multifruits,Jus Multifrutti
Cereali Al Cioccolato,Cereali Al Cioccolato
Fiocchi,Fiocchi
Fiocchi Di Cereali,Fiocchi Di Cereali
Cereali Estrusi,Cereali estrusi
Fiocchi Estrusi,Fiocchi Estrusi
Cornflakes,Cornflakes
Bevande,Bevande
Bevande Effervescente,Bevande Effervescente
Bibite Gassate,Bibite Gassate
Bevande Zuccherate,Bevande Zuccherate
En:Bevande,Bevande
En:Bevande Effervescente,Bevande Effervescente
En:Bevande-Effervescente,Bevande Effervescente
En:Bevande-Zuccherate,Bevande Zuccherate
En:Bibite Gassate,Bibite Gassate
En:Bibite-Gassate,Bibite Gassate
Latticini,Latticini
Cibi Fermentati,Cibi Fermentati
Prodotti Lattiero-Caseari Fermentati,Prodotti Lattiero Caseari Fermentati
Formaggi,Formaggi
Formaggi Italiani,Formaggi Italiani
Grana Padano,Grana Padano
Formaggio Grattugiato,Formaggio Grattugiato
Biscottes Multicéréales,Cracker multicereali
Biscuits Apéritifs,Biscotti da aperitivo
Chips De Pomme De Terre Reconstituée,Patatine ricomposte
Salse Piccanti,Salse Piccanti
Tomato Ketchup,Ketchup di pomodoro
Linguine,Linguine
Užkandžiai,Spuntini
Saldūs Užkandžiai,Spuntini dolci
Kakava Ir Jos Produktai,Cacao e prodotti derivati
Šokoladai,Cioccolatini
Pieniniški Šokoladai,Cioccolatini al latte
Šokoladai Su Lazdynais,Cioccolatini con nocciole
Pieniški Šokoladai Su Lazdynais,Cioccolatini al latte con nocciole
Stretched-Curd Cheeses,Formaggi a pasta filata
Cow Mozzarella,Cow Mozzarella
Käse,Formaggio
Italienischer Käse,Formaggio italiano
Biscotti Di Fiocchi D'Avena,Biscotti Di Fiocchi D'Avena
Culinary Plants,Piante da cucina
Aromatic Plants,Piante aromatiche
Fresh Plant-Based Foods,Alimenti freschi a base vegetale
Herbs,Erbe
Candies,Caramelle
Mint,Menta
Fresh Aromatic Plants,Piante aromatiche fresche
Fresh Mint,Menta fresca
Tomato Pastes,Tomato Pastes
Pétales Multicéréales,Petali multicereali
Jus D'Orange,Jus D'Orange
Jus De Fruits Pur Jus,Jus de Fruits Pur Jus
Jus D'Orange Pur Jus,Jus D'Orange Pur Jus
Matières Grasses À Tartiner,Grassi spalmati
Matières Grasses Animales,Grasso animale
Matière Grasse Laitière,Grasso del latte
Produits Laitiers À Tartiner,Prodotti lattiero-caseari spalmabili
Beurres,Beurres
Beurres Demi-Sel,Birre al selce
Beurres Pasteurisés,Burri pastorizzati
Canned Foods,Cibi in scatola
Canned Plant-Based Foods,Cibi vegetali in scatola
Pickles,Sottaceti
Canned Vegetables,Verdure in scatola
Olive Tree Products,Prodotti dell'olivo
Plant-Based Pickles,Sottaceti a base vegetale
Olives,Olive
Pickled Vegetables,Verdure in salamoia
Black Olives,Olive nere
Pitted Olives,Olive snocciolate
Black Pitted Olives,Olive nere snocciolate
Tortiglioni,Tortiglioni
Polpe Di Pomodoro,Polpe Di Pomodoro
Getreideriegel,Barretta di cereali
Müsliriegel Mit Schokolade,Barretta di muesli con cioccolato
En:Chocolate Confectionery With Dairy Filling,Pasticceria al cioccolato con farcitura al latte
Gefüllte Vollmilchschokolade Mit Milchfüllung,Cioccolato al latte con ripieno al latte
Meals,Pasti
Speculoos,Speculoos
Es:Fusilli De Trigo Duro,Fusilli De Trigo Duro
Fromages Au Lait De Bufflonne,Formaggio di latte di bufala
Mozzarella De Bufflonne,Mozzarella De Bufflonne
Milchnachspeisen,Dessert a base di latte
En:Fermented Dairy Desserts,Dessert a base di latticini fermentati
En:Fermented Dairy Desserts With Fruits,Dessert a base di latticini fermentati con frutta
Mueslis Au Chocolat,Mueslis al cioccolato
Riz,Riz
Riz Parfumés,Riso aromatizzato
Riz De Variété Indica,Riso Indica
Riz Long Grain,Riz Grano lungo
Riz Blanc,Riso bianco
Riz Basmati,Riz Basmati
Riz Basmati Blancs,Riz Basmati Bianco
Mueslis Croustillants,Mueslis Croustillants
Mueslis Croustillants Aux Fruits,Mueslis Croustillants Aux Fruits
Produse Lactate,Prodotti lattiero-caseari
En:Creams,Creme
En:Uht Creams,Creme Uht
En:Unfermented Creams,Creme non fermentate
Fr:Crèmes Entières,Crema completa
En:Whipped Creams,Creme montate
Brioche Filled With Chocolate Drops,Brioche ripiena di gocce di cioccolato
Lasagnes À Garnir,Lasagne da guarnire
Chips And Fries,Patatine fritte
Crisps,Crisps
Salty Snacks Made From Potato,Snack salati a base di patate
Moutardes,Senape
Moutardes À L'Ancienne,Senape all'antica
Ricotta,Ricotta
Biscotti Secchi,Biscotti Secchi
Biscotto Da Colazione,Biscotto Da Colazione
En:Breakfast Biscuit With Chocolate,Biscotto per la colazione con cioccolato
Pasta Fresca,Pasta fresca
Gnocchi,Gnocchi
Gnocchi Di Patate,Gnocchi Di Patate
Légumineuses Et Dérivés,Impulsi e derivati
Légumineuses,Impulsi
Fruits À Coque Grillés,Noci tostate
Cacahuètes,Arachidi
Fruits À Coque Salés,Noci salate
Cacahuètes Grillées,Arachidi tostate
Cacahuètes Salées,Arachidi salate
Jus De Pomme,Jus de Pomme
Jus De Pommes Pur Jus,Succo di mela puro
Pretzel,Pretzel
Fr:Mélange Sticks Et Bretzels,Bastoncini e Pretzel Mélange
Sucres,Zuccheri
Sucres Roux,Zucchero di canna
Sucres De Canne,Zucchero di canna
Cassonades,Cassonades
Preiselbeeren Konfitüren,Marmellate di mirtilli rossi
Bebidas,Bevande
Legumes E Seus Produtos,Ortaggi e prodotti derivati
Substitutos Do Leite,Sostituti del latte
Bebidas À Base De Plantas,Bevande a base di erbe
Leites De Planta,Leites De Planta
Leites De Legumes,Leites di legumi
Bebidas De Soja,Bevande alla soia
Almonds,Mandorle
Pétales De Céréales Aux Fruits,Petali di cereali alla frutta
Cookies,Biscotti
Cookies Con Chocolate,Biscotti al cioccolato
En:Cookies With Chocolate And Nougat,Biscotti con cioccolato e torrone
Jus De Fruits À Base De Concentré,Succo di frutta concentrato
Jus D'Orange À Base De Concentré,Succo d'arancia da concentrato
Jus D'Orange Sans Pulpe,Jus d'arancia senza polpa
Corn Chips,Patatine di mais
Gebäck,biscotti
Gefüllte Croissants,Croissant ripieni
Mit Schokolade Gefüllte Croissants,Croissant ripieni di cioccolato
Graines De Légumineuses,Semi di legumi
Légumineuses Sèches,Legumi secchi
Lentilles,Lentille
Milchschokoladen,Cioccolato al latte
Schokolade Mit Haselnüssen,Cioccolato con nocciole
Milchschokolade Mit Haselnüssen,Cioccolato al latte con nocciole
Confitures Et Marmelades,Marmellate e confetture
Fruits,Frutta
Confitures,Marmellate
Fruits Rouges,Frutti rossi
Confitures De Fruits Rouges,Confetture di frutti rossi
En:Bilberries,Mirtilli
Confitures De Myrtilles,Marmellata di mirtilli
Vaccinium Myrtillus,Vaccinium Myrtillus
Palets,Pallet
Mehle,Farine
Nüsse,Noci
Mandeln,Mandorle
Nussmehle,Farine di frutta a guscio
Gemahlene Mandeln,Mandorle macinate
Pasti,Pasti
Grassi,Grassi
Grassi Vegetali,Grassi Vegetali
Prodotti Dell'Ulivo,Prodotti Dell'Ulivo
Olio Vegetale,Olio Vegetale
Olio Di Oliva,Olio Di Oliva
Olio Extra Vergine Di Oliva,Olio Extra Vergine Di Oliva
Olio Vergine Di Oliva,Olio Vergine Di Oliva
Swiss Chocolates,Cioccolatini svizzeri
Croûtons,Crostini
Pain Grillé En Tranches Au Froment,Fette di formaggio tostate
Pains Spéciaux,Pane speciale
Pains Burger,Hamburger dei dolori
Gummi Candies,Gummi Candies
Acid Gummy Candies,Caramelle gommose all'acido
Gummy Bears,Orsetti gommosi
Desserts Glacés,Dessert congelati
Glaces Et Sorbets,Gelati e sorbetti
Glaces,Ghiaccioli
Bâtonnets Glacés,Stecche di gelato
Bâtonnets Glacés À La Vanille,Bastoncini di gelato alla vaniglia
Növényi Alapú Élelmiszerek És Italok,Alimenti e bevande a base vegetale
Növényialapú Élelmiszerek,Alimenti a base vegetale
Reggelik,Reggelik
Gabona- És Burgonyafélék,Cereali e patate
Gabonafélék És Azok Termékei,Cereali e prodotti derivati
Reggeli Gabonafélék,Cereali per la prima colazione
Müzli,Muzli
Cola With Sugar,Cola con zucchero
Emmentaler,Formaggio Emmental
French Cheeses,Formaggi francesi
French Emmentaler,Emmentaler francese
Sliced Cheeses,Formaggi a fette
Chocolats Noirs Aux Fèves De Cacao,Cioccolatini fondenti alle fave di cacao
Confitures De Fraises,Marmellata di fragole
Biscotti Al Cioccolato Fondente,Biscotti Al Cioccolato Fondente
En:Stick Biscuits Covered With Chocolate,Biscotti a bastoncino ricoperti di cioccolato
Aprikosen Konfitüren,Marmellate di albicocche
Fr:Biscuits Édulcorés,Biscotti dolci
White Chocolates,Cioccolatini bianchi
White Chocolates With Hazelnuts,Cioccolatini bianchi con nocciole
Cacao E I Suoi Derivati,Cacao E I Suoi Derivati
Dolci,Dolci
Confetti Al Cioccolato,Confetti Al Cioccolato
Cioccolatino,Cioccolatino
Caramelle,Caramelle
Frutta Secca Ricoperta Di Cioccolato,Frutta Secca Ricoperta Di Cioccolato
Arachidi Ricoperte Di Cioccolato,Arachidi Ricoperte Di Cioccolato
Muesli Con Cioccolato,Muesli Con Cioccolato
Muesli Con Nocciole,Muesli Con Nocciole
En:Pains Grillés,Pane tostato
Pétales De Céréales Au Chocolat,Petali di cereali al cioccolato
Pains Plats,Pane piatto
Pains Blancs,Pane bianco
Pains De Blé,Dolori di sangue
Tortillas De Blé,Tortillas di grano
Seafood,Frutti di mare
Fishes And Their Products,I pesci e i loro prodotti
Fishes,Pesci
Fatty Fishes,Pesci grassi
Canned Fishes,Pesci in scatola
Tunas,Tunas
Canned Tunas,Tonni in scatola
Meals With Fish,Pasti con il pesce
Tunas In Oil,Tonni sott'olio
Tuna In Olive Oil,Tonno in olio d'oliva
Produits De La Mer,Prodotti del mare
Poissons Et Dérivés,Pesce e derivati
Poissons,Pesce
Poissons Gras,Pesce grasso
Poissons En Conserve,Pesce in scatola
Thons,Thons
Thons En Conserve,Tonno in scatola
Thons À L'Huile,Tonno sott'olio
Thons À L'Huile D'Olive,Tonno in olio d'oliva
En:Flours,Farine
En:Cereal Flours,Farine di cereali
En:Breads,Pane
En:Cornmeal,Farina di mais
Müslis Mit Schokolade,Mueslis al cioccolato
Boissons Sans Alcool,Bevande analcoliche
Pasta Sauces,Sughi per pasta
Breadsticks,Grissini
Salades Composées,Insalate miste
Plats Préparés Au Poisson,Piatti di pesce preparati
En:Salads With Fish,Insalate con pesce
Salades Au Thon,Insalate di tonno
Thons Blancs,Tonno bianco
En:Salads,Insalate
Jus De Clémentine,Succo di clementina
Mueslis Floconneux,Mueslis a scaglie
Legumes,Legumi
Roasted Nuts,Noci tostate
Peanuts,Arachidi
Salted Nuts,Noci salate
Peanut Grilled Salted,Arachidi grigliate salate
Roasted Peanuts,Arachidi tostate
Salted Peanuts,Arachidi salate
Aperitivos Salados Elaborados Con Patata,Antipasti salati a base di patate
Nahrungsergänzungsmittel,Integratori alimentari
Nahrungsergänzungen Für Bodybuilder,Integratori alimentari per culturisti
Proteinriegel,Barretta proteica
Pinsa Romana,Pinsa Romana
Pâte À Pizza Précuite,Impasto per pizza precotto
Boissons Au Riz,Bevande di riso
Boissons Végétales De Riz Nature,Bevande naturali a base di riso
Piatti A Base Di Pasta,Piatti A Base Di Pasta
Noodle,Spaghetto
Dessert,Dessert
Dolci A Base Di Latte,Dolci A Base Di Latte
Bevande A Base Di Latte,Bevande A Base Di Latte
Bevande Fermentate,Bevande Fermentate
Bevande Al Latte Fermentate,Bevande Al Latte Fermentate
En:Kefir Yogurts,Yogurt di kefir
Frozen Desserts,Dessert congelati
Ice Creams And Sorbets,Gelati e sorbetti
Ice Creams,Gelati
Cacao Y Sus Productos,Cacao e prodotti del cacao
Chocolates Negros,Cioccolatini Negros
Chocolate Relleno,Chocolate Relleno
En:Dark Chocolate Filled With Mint Confectionery,Cioccolato fondente con ripieno di menta
En:Filled Dark Chocolates,Cioccolatini fondenti ripieni
Cereali Ripieni,Cereali Ripieni
Chocolats Salés,Cioccolatini salati
Chocolats À La Fleur De Sel,Cioccolatini Fleur De Sel
Chocolats Noirs Salés,Cioccolatini fondenti salati
Chocolats Noirs À La Fleur De Sel,Cioccolatini fondenti Fleur De Sel
Noix De Cajou,Anacardi
Noix De Cajou Grillées,Anacardi tostati
Pesto,Pesto
Fette Biscottate,Fette Biscottate
Fette Biscottate Integrali,Fette Biscottate Integrali
Yogurt,Yogurt
De:Milchcreme-Schnitte,Fetta di crema di latte
De:Milchschnitte,Fette di latte
Filets De Poissons,Filetti di pesce
Maquereaux,Sgombro
Filets De Maquereaux,Filetti di sgombro
Filets De Maquereaux Natures,Filetti di sgombro al naturale
Maquereaux En Conserve,Sgombro in scatola
Alimente Și Băuturi Pe Bază De Plante,Alimenti e bevande a base di erbe
Băuturi,Bevande
Alimente Pe Bază De Plante,Cibo a base di erbe
En:Milk Substitutes,Sostituti del latte
Băuturi Din Plante,Bevande a base di erbe
En:Plant-Based Milk Alternatives,Alternative al latte a base vegetale
En:Cereal-Based Drinks,Bevande a base di cereali
En:Rice-Based Drinks,Bevande a base di riso
En:Plain Rice-Based Drinks,Bevande semplici a base di riso
Cacao E Cioccolato In Polvere,Cacao E Cioccolato In Polvere
Bevande Istantanee,Bevande Istantanee
Cacao In Polvere,Cacao In Polvere
Cioccolata In Polvere,Cioccolata In Polvere
Apricot Jams,Marmellata di albicocche
En:Biscuits Et Gâteaux,Biscotti e torte
En:Snacks Sucrés,Spuntini dolci
Pane Ai Cereali A Fette,Pane Ai Cereali A Fette
Fr:Farfalles,Farfalles
Bonbons,Bonbons
Latte,Latte
Latte Omogenizzato,Latte Omogenizzato
Latte Parzialmente Scremato,Latte Parzialmente Scremato
Latte Uht,Latte Uht
Latte Parzialmente Scremato Uht,Latte Parzialmente Scremato Uht
Gustări,Degustazioni
Gustări Dulci,Spuntini dolci
Biscuiți Și Prăjituri,Biscotti e torte
Biscuiți,Biscotti
En:Wheat Bis,Grano Bis
Milk Chocolate Biscuits,Biscotti al cioccolato al latte
Biscuit With A Chocolate Bar Covering,Biscotto con copertura di barrette di cioccolato
Biscuit With A Milk Chocolate Bar Covering,Biscotto con copertura di cioccolato al latte
Alternatives À La Viande,Alternative alla carne
Réfrigérés,Refrigerato
Plats Préparés D'Origine Végétale,Piatti pronti di origine vegetale
Plats Préparés Réfrigérés,Piatti pronti refrigerati
En:Refrigerated Plant-Based Foods,Alimenti vegetali refrigerati
Boulettes Végétariennes,Polpette vegetariane
Falafels,Falafel
Falafels Réfrigérés,Falafel raffreddati
Dairy Desserts,Dolci a base di latte
Fermented Dairy Desserts,Dessert a base di latticini fermentati
Cream Cheeses,Formaggi alla crema
Semi,Semi
Semi Di Cereale,Semi Di Cereale
Fiocchi Pressati,Fiocchi Pressati
Fiocchi D'Avena,Fiocchi D'Avena
En:Avena,Avena
Glazes With Vinegar,Smalti con aceto
En:Aliments D'Origine V�G�Tale,Aliments D'Origine V�G�Tale
En:Aliments Et Boissons � Base De V�G�Taux,Cibo e bevande � Basato su V�G�Taux
En:C�R�Ales Et D�Riv�S,Vini e bevande
En:C�R�Ales Et Pommes De Terre,Sangue e patate
En:C�R�Ales Pour Petit-D�Jeuner,Aromi per il piccolo D. Jeuner
En:Flocons,Fiocchi
En:Flocons De C�R�Ales,Fiocchi di birra
En:Flocons Extrud�S,Flocons Extrud�S
En:Petit-D�Jeuners,Petit D�Jeuners
En:P�Tales Multic�R�Ales,Racconti multicanale
Legumi Ed I Loro Prodotti,Legumi Ed I Loro Prodotti
En:Meat Alternatives,Alternative alla carne
Sostituti Della Carne,Sostituti Della Carne
Tofu,Tofu
Biscuits Tablette De Chocolat Au Lait,Biscotti al cioccolato al latte
Sucres De Betterave,Sucres De Betterave
Sucres En Poudre,Zuccheri in polvere
Sucres Blancs,Zuccheri bianchi
Tomatensaucen,Salse al pomodoro
Arrabiata-Soßen,Salse Arrabiata
Dark Chocolate Biscuits,Biscotti al cioccolato fondente
Kex,Kex
Söta Snacks,Spuntini dolci
Shortbread Cookies,Biscotti di pasta frolla
Bevande Calde,Bevande Calde
Bevande A Base Di Piante,Bevande A Base Di Piante
Tè,Tè
Bevande Artificialmente Zuccherate,Bevande Artificialmente Zuccherate
Bevande A Base Di Tè,Bevande A Base Di Tè
Thè Freddi,Thè Freddi
Bonbons De Chocolat À La Liqueur,Bonbon di cioccolato al liquore
Bonbons De Chocolat Fourrés Cerise Et Liqueur,Bonbon di cioccolato ripieni di ciliegie e liquore
Yogurt Greco,Yogurt greco
Non-Dairy Desserts,Dessert non caseari
Non-Dairy Fermented Foods,Alimenti fermentati non caseari
Non-Dairy Yogurts,Yogurt non caseari
Soy Milk Yogurts,Yogurt al latte di soia
Legume-Based Drinks,Bevande a base di legumi
Soy-Based Drinks,Bevande a base di soia
Plain Soy Yogurts,Yogurt di soia semplici
Alimenti Surgelati,Alimenti chirurgici
Pizze E Torte Salate,Pizze E Torte Salate
Pizze,Pizze
En:Vegetarian Pizzas,Vegetarian Pizzas
Pizze Al Formaggio,Pizze Al Formaggio
Pizze E Torte Surgelate,Pizze E Torte Surgelate
Piatti Pronti Surgelati,Piatti Pronti Surgelati
Pizza Ai Quattro Formaggi,Pizza Ai Quattro Formaggi
Pizza Surgelata,Pizza Surgelata
Cacahuète Grillée Salée,Arachidi salate tostate
Flocons D'Avoine,Fiocchi d'avena
En:Boiled-Oat-Flakes,Fiocchi d'avena bolliti
Confitures De Framboises,Marmellata di lamponi
Stick Biscuits Covered With Chocolate,Biscotti a bastoncino ricoperti di cioccolato
Gesalzene Aufstriche,Creme spalmabili salate
Dips,Tuffi
En:Red Pepper Hummus,Hummus di peperoni rossi
Dried Figs,Fichi secchi
Figs,Fichi
Spices,Spezie
Chili Peppers,Chili Peppers
Chili Peppers In Oil,Peperoncini sott'olio
Trempettes,Tuffi
Dry Biscuits,Biscotti secchi
Biscuit With Vegetal Fat,Biscotto con grasso vegetale
Spalmabili,Spalmabili
Noci Ed I Loro Prodotti,Noci Ed I Loro Prodotti
Spalmabili A Base Di Piante,Spalmabili A Base Di Piante
Puree Di Oli Di Semi,Puree Di Oli Di Semi
Burro Di Legumi,Burro Di Legumi
Burro Di Frutta Secca,Burro Di Frutta Secca
Burri Di Arachidi,Burri Di Arachidi
En:Burro Di Arachidi,Burro Di Arachidi
Chocolate Desserts,Dolci al cioccolato
Soy Desserts,Dolci di soia
Vegan Creamy Puddings,Budini cremosi vegani
Flavoured Soy Dessert,Dessert di soia aromatizzato
Vegan Chocolate Puddings,Budini vegani al cioccolato
Chocolate Soy Desserts,Dolci di soia al cioccolato
Lentilles Décortiquées,Lenticchie sgusciate
Lentilles Rouges,Lenti rosse
Lentilles Corail,Lenti di corallo
Fromages À Pâte Molle À Croûte Fleurie,Formaggi a pasta molle con crosta fiorita
Camemberts,Camembert
Camemberts Au Lait De Vache,Camembert di latte vaccino
Fromages De France,Salumi di Francia
Camemberts Au Lait Pasteurisé De Vache,Camembert di latte vaccino pastorizzato
Poudre Cacaotée Pour Boisson Sucrée,Cacao in polvere per bevande dolci
